proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
813,-4.2,12.0,-471.8,-1.5,12.6
814,,,,,
815,-4.3,12.0,-472.9,-1.5,12.6
816,-4.3,12.0,-472.1,-1.6,12.6
817,-4.3,12.0,-471.9,-1.6,12.6
818,,,,,
819,,,,,
820,-4.3,12.0,-472.6,-1.6,12.6
821,,,,,
822,-4.2,12.0,-472.4,-1.5,12.6
823,-4.1,12.0,-472.2,-1.4,12.6
824,,,,,
825,,,,,
826,-4.2,12.0,-472.2,-1.6,12.6
827,,,,,
828,-4.1,11.9,-472.0,-1.5,12.5
829,,,,,
830,-4.4,12.1,-472.7,-1.7000000000000002,12.8
831,,,,,
832,-4.2,12.0,-472.6,-1.6,12.6
833,-4.2,12.0,-472.6,-1.6,12.6
834,,,,,
835,-4.2,12.0,-472.0,-1.6,12.6
836,,,,,
837,,,,,
838,-4.1,12.0,-472.6,-1.5,12.6
839,-4.2,12.0,-472.6,-1.6,12.6
840,,,,,
841,,,,,
842,-4.3,12.0,-473.1,-1.6,12.6
843,,,,,
844,-4.2,12.0,-472.4,-1.6,12.6
845,,,,,
846,-4.2,12.0,-472.5,-1.6,12.6
847,,,,,
848,-4.1,12.0,-472.1,-1.6,12.6
849,,,,,
850,-4.2,12.0,-472.4,-1.6,12.6
851,,,,,
852,-4.3,12.0,-472.2,-1.7000000000000002,12.6
853,,,,,
854,-4.2,12.0,-472.4,-1.6,12.6
855,,,,,
856,-4.3,12.1,-473.0,-1.7000000000000002,12.7
857,,,,,
858,-4.3,12.1,-473.0,-1.7000000000000002,12.7
859,,,,,
860,-4.2,12.0,-472.6,-1.7000000000000002,12.6
861,-4.2,12.0,-472.4,-1.7000000000000002,12.6
862,,,,,
863,-4.2,12.0,-472.9,-1.7000000000000002,12.6
864,,,,,
865,-4.2,12.0,-472.7,-1.7000000000000002,12.6
866,,,,,
867,-4.1,12.0,-472.6,-1.6,12.6
868,,,,,
869,,,,,
870,-4.1,12.0,-473.1,-1.6,12.6
871,-4.1,12.0,-472.9,-1.6,12.6
872,,,,,
873,,,,,
874,-4.1,12.0,-472.2,-1.6,12.6
875,,,,,
876,-4.3,12.0,-472.9,-1.8,12.6
877,-4.2,12.0,-472.8,-1.7000000000000002,12.6
878,,,,,
879,,,,,
880,-4.2,12.0,-473.2,-1.7000000000000002,12.6
881,-4.2,12.0,-472.3,-1.7000000000000002,12.6
882,,,,,
883,-4.1,12.0,-472.7,-1.6,12.6
884,,,,,
885,-4.2,12.0,-473.0,-1.7000000000000002,12.6
886,,,,,
887,-4.2,12.0,-472.9,-1.8,12.6
888,,,,,
889,,,,,
890,-4.2,12.0,-472.8,-1.8,12.6
891,-4.2,12.0,-472.7,-1.8,12.6
892,,,,,
893,,,,,
894,-4.2,12.0,-473.7,-1.8,12.6
895,-4.1,12.0,-473.2,-1.7000000000000002,12.6
896,,,,,
897,,,,,
898,-4.1,12.0,-473.1,-1.7000000000000002,12.6
899,,,,,
900,-4.2,12.0,-472.7,-1.8,12.6
901,-4.2,12.0,-472.6,-1.8,12.6
902,,,,,
903,,,,,
904,-4.3,12.0,-473.1,-1.9,12.6
905,-4.2,12.0,-472.5,-1.8,12.6
906,,,,,
907,-4.2,12.0,-473.2,-1.8,12.6
908,,,,,
909,,,,,
910,-4.3,12.0,-472.1,-1.9,12.6
911,,,,,
912,-4.2,12.1,-474.4,-1.8,12.7
913,,,,,
914,-4.2,12.0,-472.5,-1.8,12.6
915,,,,,
916,-4.2,12.0,-472.1,-1.8,12.6
917,-4.2,12.0,-472.1,-1.9,12.6
918,,,,,
919,-4.3,12.0,-471.8,-2.0,12.6
920,,,,,
921,,,,,
922,-4.1,12.0,-471.8,-1.8,12.6
923,-4.2,12.0,-471.4,-1.9,12.6
924,,,,,
925,,,,,
926,-4.3,12.0,-472.0,-2.0,12.6
927,,,,,
928,-4.2,12.0,-472.2,-1.9,12.6
929,-4.1,12.0,-472.2,-1.8,12.5
930,,,,,
931,,,,,
932,-4.2,12.0,-471.5,-1.9,12.5
933,,,,,
934,-4.1,12.0,-471.9,-1.8,12.6
935,-4.2,12.0,-471.9,-1.9,12.6
936,,,,,
937,,,,,
938,-4.2,12.0,-472.3,-1.9,12.6
939,,,,,
940,-4.2,12.0,-472.3,-1.9,12.6
941,-4.2,12.0,-471.9,-1.9,12.6
942,,,,,
943,,,,,
944,-4.2,12.0,-472.2,-1.9,12.6
945,,,,,
946,-4.1,12.0,-472.2,-1.9,12.6
947,,,,,
948,-4.2,12.0,-472.5,-1.9,12.6
949,,,,,
950,-4.1,12.0,-472.6,-1.9,12.5
951,,,,,
952,-4.2,12.0,-474.9,-1.9,12.6
953,,,,,
954,-4.1,12.0,-471.9,-1.9,12.5
955,-4.1,12.0,-472.0,-1.9,12.5
956,,,,,
957,,,,,
958,-4.2,12.0,-472.6,-2.0,12.6
959,,,,,
960,-4.2,12.0,-473.0,-2.0,12.6
961,,,,,
962,-4.2,12.0,-470.6,-2.0,12.5
963,,,,,
964,-4.1,12.0,-472.3,-1.9,12.5
965,-4.2,12.0,-472.7,-2.0,12.6
966,,,,,
967,-4.1,12.0,-472.4,-1.9,12.5
968,,,,,
969,,,,,
970,-4.1,12.0,-471.6,-2.0,12.5
971,-4.1,11.9,-469.8,-1.9,12.5
972,,,,,
973,,,,,
974,-4.3,12.2,-477.6,-2.1,12.7
975,,,,,
976,-4.3,12.1,-477.1,-2.1,12.7
977,,,,,
978,-4.2,12.0,-472.5,-2.0,12.6
979,-4.1,12.0,-472.4,-1.9,12.5
980,,,,,
981,,,,,
982,-4.1,12.0,-471.1,-1.9,12.5
983,,,,,
984,-4.2,12.0,-472.2,-2.0,12.5
985,-4.2,12.1,-473.3,-2.0,12.6
986,,,,,
987,-4.2,12.1,-473.0,-2.0,12.6
988,,,,,
989,-4.2,12.0,-472.6,-2.1,12.5
990,,,,,
991,-4.2,12.0,-476.5,-2.0,12.5
992,,,,,
993,-4.2,12.0,-472.2,-2.1,12.5
994,,,,,
995,,,,,
996,-4.1,12.0,-472.4,-2.0,12.5
997,-4.1,12.0,-471.7,-2.0,12.6
998,,,,,
999,,,,,
1000,-4.2,12.0,-471.4,-2.0,12.5
1001,-4.1,12.0,-472.2,-2.0,12.5
1002,,,,,
1003,,,,,
1004,-4.2,12.0,-472.1,-2.1,12.5
1005,-4.3,12.0,-472.4,-2.1,12.5
1006,,,,,
1007,-4.2,12.1,-472.6,-2.1,12.6
1008,,,,,
1009,,,,,
1010,-4.2,12.1,-472.6,-2.1,12.6
1011,,,,,
1012,-4.2,12.0,-473.4,-2.1,12.5
1013,-4.1,12.0,-472.4,-2.0,12.5
1014,,,,,
1015,,,,,
1016,-4.3,12.1,-472.4,-2.2,12.6
1017,,,,,
1018,-4.2,12.0,-472.3,-2.1,12.5
1019,,,,,
1020,-4.3,12.0,-472.1,-2.2,12.6
1021,,,,,
1022,-4.1,12.0,-471.9,-2.0,12.5
1023,-4.1,12.0,-471.2,-2.1,12.5
1024,,,,,
1025,,,,,
1026,-4.1,12.0,-472.4,-2.0,12.5
1027,,,,,
1028,-4.1,12.0,-471.9,-2.1,12.5
1029,,,,,
1030,-4.1,12.0,-472.1,-2.1,12.5
1031,-4.1,12.0,-471.4,-2.1,12.5
1032,,,,,
1033,-4.1,12.0,-472.2,-2.1,12.5
1034,,,,,
1035,-4.2,12.0,-471.6,-2.2,12.5
1036,,,,,
1037,-4.1,12.0,-471.8,-2.1,12.5
1038,,,,,
1039,-4.1,12.0,-472.1,-2.1,12.5
1040,,,,,
1041,,,,,
1042,-4.1,12.0,-472.3,-2.1,12.5
1043,,,,,
1044,-4.1,12.0,-471.6,-2.1,12.5
1045,,,,,
1046,-4.1,12.0,-472.0,-2.1,12.5
1047,-4.2,12.0,-472.2,-2.2,12.5
1048,,,,,
1049,-4.2,12.0,-472.4,-2.2,12.5
1050,,,,,
1051,,,,,
1052,-4.1,12.0,-471.9,-2.1,12.5
1053,-4.2,12.0,-472.5,-2.2,12.5
1054,,,,,
1055,-4.1,12.0,-472.3,-2.1,12.5
1056,,,,,
1057,-4.1,12.0,-472.4,-2.1,12.5
1058,,,,,
1059,-4.3,12.1,-472.6,-2.3,12.6
1060,,,,,
1061,-4.1,12.0,-472.8,-2.1,12.5
1062,,,,,
1063,-4.2,12.0,-472.3,-2.2,12.5
1064,,,,,
1065,,,,,
1066,-4.1,12.0,-471.9,-2.1,12.5
1067,,,,,
1068,-4.1,12.0,-472.4,-2.1,12.5
1069,-4.1,12.0,-472.7,-2.1,12.5
1070,,,,,
1071,,,,,
1072,-4.2,12.0,-472.6,-2.2,12.5
1073,-4.2,12.0,-472.7,-2.2,12.5
1074,,,,,
1075,,,,,
1076,-4.2,12.0,-472.2,-2.2,12.5
1077,,,,,
1078,-4.1,12.0,-472.2,-2.1,12.5
1079,-4.1,12.0,-472.1,-2.1,12.5
1080,,,,,
1081,-4.1,12.0,-472.2,-2.2,12.5
1082,,,,,
1083,-4.2,12.0,-472.7,-2.3,12.5
1084,,,,,
1085,-4.3,12.1,-472.9,-2.3,12.6
1086,,,,,
1087,-4.1,12.0,-473.2,-2.2,12.5
1088,,,,,
1089,-4.1,12.0,-472.7,-2.2,12.5
1090,,,,,
1091,,,,,
1092,-4.1,12.0,-471.6,-2.2,12.5
1093,-4.1,12.0,-471.6,-2.2,12.5
1094,,,,,
1095,,,,,
1096,-4.1,12.0,-471.8,-2.2,12.5
1097,-4.2,12.1,-472.5,-2.2,12.6
1098,,,,,
1099,,,,,
1100,-4.1,12.0,-472.0,-2.2,12.5
1101,,,,,
1102,-4.2,12.1,-472.6,-2.3,12.6
1103,,,,,
1104,-4.2,12.1,-472.5,-2.2,12.6
1105,,,,,
1106,-4.1,12.0,-472.7,-2.2,12.5
1107,,,,,
1108,-4.1,12.0,-472.6,-2.2,12.5
1109,,,,,
1110,-4.2,12.1,-472.4,-2.3,12.6
1111,,,,,
1112,-4.2,12.1,-472.7,-2.3,12.6
1113,,,,,
1114,-4.2,12.0,-472.8,-2.2,12.5
1115,,,,,
1116,-4.1,12.0,-472.5,-2.2,12.5
1117,,,,,
1118,-4.2,12.0,-472.4,-2.3,12.5
1119,-4.1,12.0,-472.2,-2.2,12.5
1120,,,,,
1121,-4.2,12.0,-472.1,-2.3,12.5
1122,,,,,
1123,,,,,
1124,-4.2,12.0,-472.4,-2.3,12.5
1125,-4.2,12.0,-472.7,-2.3,12.5
1126,,,,,
1127,,,,,
1128,-4.2,12.1,-472.7,-2.3,12.6
1129,,,,,
1130,-4.2,12.1,-473.4,-2.3,12.6
1131,,,,,
1132,-4.2,12.0,-473.2,-2.3,12.5
1133,,,,,
1134,-4.1,12.0,-472.3,-2.2,12.5
1135,-4.1,12.0,-472.0,-2.2,12.5
1136,,,,,
1137,,,,,
1138,-4.1,12.1,-472.6,-2.2,12.6
1139,,,,,
1140,-4.2,12.0,-472.9,-2.3,12.5
1141,,,,,
1142,-4.2,12.0,-472.6,-2.3,12.5
1143,-4.1,12.0,-472.7,-2.2,12.5
1144,,,,,
1145,,,,,
1146,-4.1,12.1,-472.7,-2.2,12.5
1147,-4.1,12.0,-472.4,-2.2,12.5
1148,,,,,
1149,-4.1,12.0,-472.2,-2.2,12.5
1150,,,,,
1151,,,,,
1152,-4.1,12.0,-471.7,-2.2,12.5
1153,-4.2,12.0,-472.2,-2.3,12.5
1154,,,,,
1155,,,,,
1156,-4.2,12.0,-472.3,-2.3,12.5
1157,-4.1,12.0,-472.3,-2.2,12.5
1158,,,,,
1159,,,,,
1160,-4.0,12.0,-472.3,-2.1,12.5
1161,-4.2,12.1,-472.3,-2.3,12.6
1162,,,,,
1163,-4.2,12.0,-472.3,-2.4,12.5
1164,,,,,
1165,-4.2,12.1,-472.4,-2.3,12.6
1166,,,,,
1167,,,,,
1168,-4.1,12.1,-472.1,-2.2,12.6
1169,,,,,
1170,-4.1,12.0,-472.3,-2.3,12.5
1171,,,,,
1172,-4.3,12.1,-472.8,-2.4,12.6
1173,-4.1,12.1,-473.3,-2.2,12.6
1174,,,,,
1175,-4.2,12.1,-473.3,-2.3,12.6
1176,,,,,
1177,-4.2,12.1,-472.8,-2.3,12.6
1178,,,,,
1179,-4.2,12.1,-472.4,-2.3,12.6
1180,,,,,
1181,-4.3,12.1,-472.8,-2.4,12.6
1182,,,,,
1183,-4.2,12.1,-472.6,-2.4,12.6
1184,,,,,
1185,-4.1,12.0,-472.3,-2.3,12.5
1186,,,,,
1187,-4.1,12.1,-472.4,-2.3,12.5
1188,,,,,
1189,-4.1,12.0,-472.2,-2.3,12.5
1190,,,,,
1191,-3.9,12.0,-471.9,-2.1,12.4
1192,,,,,
1193,-4.0,12.0,-471.6,-2.1,12.4
1194,,,,,
1195,,,,,
1196,-4.1,12.0,-472.2,-2.3,12.5
1197,-4.0,12.0,-472.2,-2.2,12.5
1198,,,,,
1199,-4.2,12.1,-471.8,-2.4,12.6
1200,,,,,
1201,-4.1,12.0,-471.6,-2.2,12.5
1202,,,,,
1203,,,,,
1204,-4.2,12.0,-471.5,-2.4,12.5
1205,,,,,
1206,-4.2,12.1,-472.1,-2.4,12.6
1207,,,,,
1208,-4.2,12.1,-472.3,-2.4,12.6
1209,,,,,
1210,-4.2,12.1,-472.3,-2.4,12.6
1211,-4.1,12.0,-472.3,-2.3,12.5
1212,,,,,
1213,-4.0,12.0,-471.3,-2.2,12.5
1214,,,,,
1215,,,,,
1216,-4.1,12.0,-472.0,-2.3,12.5
1217,,,,,
1218,-4.1,12.0,-472.1,-2.3,12.5
1219,-4.1,12.0,-472.2,-2.3,12.5
1220,,,,,
1221,-4.2,12.1,-471.5,-2.4,12.6
1222,,,,,
1223,,,,,
1224,-4.3,12.1,-471.7,-2.5,12.6
1225,,,,,
1226,-4.1,12.0,-471.6,-2.2,12.5
1227,,,,,
1228,-4.1,12.1,-472.9,-2.3,12.6
1229,,,,,
1230,-4.0,12.0,-472.5,-2.2,12.5
1231,-4.0,12.0,-472.6,-2.2,12.5
1232,,,,,
1233,,,,,
1234,-4.1,12.1,-472.4,-2.3,12.6
1235,-4.2,12.1,-472.7,-2.3,12.6
1236,,,,,
1237,-4.1,12.0,-472.1,-2.3,12.5
1238,,,,,
1239,,,,,
1240,-4.2,12.1,-471.9,-2.4,12.6
1241,-4.1,12.1,-471.4,-2.3,12.6
1242,,,,,
1243,-4.1,12.1,-471.9,-2.3,12.6
1244,,,,,
1245,-4.1,12.0,-471.9,-2.3,12.5
1246,,,,,
1247,,,,,
1248,-4.2,12.1,-472.3,-2.4,12.5
1249,-4.2,12.0,-472.3,-2.4,12.5
1250,,,,,
1251,,,,,
1252,-4.1,12.0,-471.7,-2.3,12.5
1253,,,,,
1254,-4.1,12.0,-471.8,-2.3,12.5
1255,-4.1,12.0,-471.7,-2.3,12.5
1256,,,,,
1257,-4.1,12.0,-472.0,-2.3,12.5
1258,,,,,
1259,,,,,
1260,-4.1,12.0,-471.5,-2.3,12.5
1261,-4.1,12.0,-472.0,-2.3,12.5
1262,,,,,
1263,,,,,
1264,-4.1,12.0,-471.3,-2.3,12.5
1265,,,,,
1266,-4.1,12.0,-471.3,-2.3,12.5
1267,,,,,
1268,-4.1,12.0,-471.7,-2.3,12.5
1269,,,,,
1270,-4.1,12.0,-471.6,-2.3,12.5
1271,,,,,
1272,-4.0,12.0,-472.0,-2.2,12.5
1273,-4.1,12.0,-471.5,-2.3,12.5
1274,,,,,
1275,-4.0,12.0,-471.5,-2.2,12.5
1276,,,,,
1277,-4.2,12.1,-471.5,-2.4,12.6
1278,,,,,
1279,-4.1,12.0,-471.7,-2.3,12.5
1280,,,,,
1281,-4.1,12.1,-472.4,-2.3,12.6
1282,,,,,
1283,-4.1,12.1,-472.0,-2.3,12.6
1284,,,,,
1285,,,,,
1286,-4.1,12.0,-471.8,-2.3,12.5
1287,-4.2,12.0,-471.9,-2.3,12.5
1288,,,,,
1289,-4.2,12.0,-471.7,-2.4,12.5
1290,,,,,
1291,,,,,
1292,-4.0,12.0,-471.5,-2.2,12.5
1293,-4.1,12.0,-471.9,-2.3,12.5
1294,,,,,
1295,-4.1,12.0,-472.4,-2.3,12.5
1296,,,,,
1297,-4.1,12.1,-472.1,-2.3,12.6
1298,,,,,
1299,,,,,
1300,-4.1,12.0,-471.9,-2.3,12.5
1301,-4.1,12.0,-472.0,-2.3,12.5
1302,,,,,
1303,,,,,
1304,-4.2,12.1,-471.6,-2.4,12.6
1305,,,,,
1306,-4.1,12.1,-471.7,-2.3,12.6
1307,-4.1,12.0,-471.9,-2.3,12.5
1308,,,,,
1309,,,,,
1310,-4.1,12.0,-472.0,-2.3,12.5
1311,-4.1,12.1,-472.2,-2.3,12.6
1312,,,,,
1313,,,,,
1314,-4.1,12.0,-472.2,-2.3,12.5
1315,-4.1,12.0,-471.8,-2.3,12.5
1316,,,,,
1317,,,,,
1318,-4.1,12.1,-471.9,-2.2,12.6
1319,,,,,
1320,-4.1,12.0,-471.7,-2.3,12.5
1321,,,,,
1322,-4.1,12.0,-472.3,-2.3,12.5
1323,,,,,
1324,-4.1,12.0,-472.0,-2.3,12.5
1325,-4.1,12.1,-472.1,-2.2,12.6
1326,,,,,
1327,-4.0,12.0,-471.6,-2.2,12.5
1328,,,,,
1329,,,,,
1330,-4.1,12.1,-472.2,-2.2,12.6
1331,-4.1,12.1,-472.2,-2.2,12.5
1332,,,,,
1333,-4.1,12.0,-472.0,-2.3,12.5
1334,,,,,
1335,-4.1,12.0,-471.8,-2.2,12.5
1336,,,,,
1337,-4.1,12.0,-471.9,-2.2,12.5
1338,,,,,
1339,,,,,
1340,-4.1,12.1,-471.7,-2.2,12.6
1341,,,,,
1342,-4.1,12.0,-471.8,-2.2,12.5
1343,-4.1,12.0,-472.2,-2.2,12.5
1344,,,,,
1345,-4.1,12.1,-472.2,-2.2,12.5
1346,,,,,
1347,-4.1,12.1,-472.3,-2.2,12.6
1348,-4.1,12.1,-472.0,-2.2,12.6
1349,,,,,
1350,-4.0,12.0,-472.1,-2.1,12.5
1351,,,,,
1352,-4.1,12.0,-471.8,-2.2,12.5
1353,,,,,
1354,,,,,
1355,-4.1,12.1,-471.9,-2.2,12.5
1356,-4.1,12.1,-471.9,-2.2,12.6
1357,,,,,
1358,,,,,
1359,-4.0,12.0,-472.0,-2.1,12.5
1360,-4.0,12.0,-472.0,-2.1,12.5
1361,,,,,
1362,-4.1,12.0,-472.2,-2.2,12.5
1363,,,,,
1364,-4.1,12.0,-472.0,-2.2,12.5
1365,,,,,
1366,-4.1,12.0,-472.0,-2.2,12.5
1367,,,,,
1368,,,,,
1369,-4.1,12.1,-472.0,-2.2,12.6
1370,,,,,
1371,-4.2,12.1,-472.1,-2.3,12.6
1372,-4.1,12.1,-472.5,-2.2,12.6
1373,-4.1,12.1,-472.2,-2.2,12.6
1374,-4.0,12.0,-472.1,-2.1,12.5
1375,-4.0,12.0,-471.8,-2.1,12.5
1376,-4.1,12.1,-472.3,-2.2,12.6
1377,-4.1,12.1,-472.1,-2.2,12.6
1378,-4.1,12.0,-472.2,-2.2,12.5
1379,-4.1,12.0,-472.0,-2.2,12.5
1380,-4.1,12.1,-472.1,-2.2,12.6
1381,-4.1,12.1,-472.5,-2.2,12.6
1382,-4.1,12.1,-472.6,-2.2,12.6
1383,-4.1,12.1,-472.3,-2.2,12.6
1384,-4.1,12.1,-472.4,-2.2,12.6
1385,-4.1,12.1,-472.4,-2.1,12.6
1386,-4.1,12.1,-472.1,-2.2,12.6
1387,-4.1,12.1,-472.3,-2.1,12.6
1388,-4.1,12.1,-472.4,-2.1,12.6
1389,-4.1,12.1,-472.2,-2.1,12.6
1390,-4.1,12.1,-472.3,-2.1,12.6
1391,-4.1,12.1,-472.4,-2.1,12.6
1392,-4.1,12.1,-472.5,-2.1,12.6
1393,-4.1,12.1,-472.7,-2.1,12.6
1394,-4.1,12.1,-472.5,-2.1,12.6
1395,-4.1,12.1,-472.6,-2.1,12.6
1396,-4.1,12.1,-472.5,-2.1,12.6
1397,-4.1,12.1,-472.2,-2.1,12.6
1398,-4.1,12.1,-472.2,-2.1,12.6
1399,-4.1,12.1,-472.3,-2.1,12.6
1400,-4.1,12.1,-472.2,-2.1,12.6
1401,-4.1,12.1,-472.4,-2.1,12.6
1402,-4.1,12.1,-472.5,-2.1,12.6
1403,-4.0,12.0,-471.9,-2.0,12.5
1404,-4.1,12.1,-472.2,-2.1,12.6
1405,,,,,
1406,-4.1,12.1,-472.4,-2.1,12.6
1407,,,,,
1408,-4.1,12.1,-472.3,-2.1,12.6
1409,,,,,
1410,,,,,
1411,-4.1,12.1,-471.7,-2.1,12.6
1412,,,,,
1413,-4.1,12.1,-472.1,-2.1,12.6
1414,,,,,
1415,-4.1,12.1,-472.2,-2.1,12.6
1416,-4.1,12.1,-472.3,-2.1,12.6
1417,,,,,
1418,,,,,
1419,-4.1,12.1,-472.1,-2.1,12.6
1420,-4.1,12.1,-472.0,-2.1,12.6
1421,,,,,
1422,,,,,
1423,-4.1,12.1,-472.2,-2.0,12.6
1424,-4.1,12.1,-472.4,-2.1,12.6
1425,,,,,
1426,-4.1,12.1,-472.4,-2.0,12.6
1427,,,,,
1428,,,,,
1429,-4.1,12.1,-472.3,-2.1,12.6
1430,-4.1,12.0,-471.9,-2.0,12.6
1431,,,,,
1432,,,,,
1433,-4.1,12.1,-472.0,-2.0,12.6
1434,-4.1,12.1,-472.5,-2.0,12.6
1435,,,,,
1436,-4.1,12.1,-471.9,-2.0,12.6
1437,,,,,
1438,,,,,
1439,-4.1,12.1,-472.2,-2.0,12.6
1440,-4.1,12.1,-472.1,-2.0,12.6
1441,,,,,
1442,,,,,
1443,-4.1,12.1,-471.8,-2.0,12.6
1444,,,,,
1445,-4.1,12.1,-471.9,-2.0,12.6
1446,-4.1,12.1,-471.9,-2.0,12.6
1447,,,,,
1448,-4.1,12.1,-472.3,-2.0,12.6
1449,,,,,
1450,-4.1,12.1,-472.2,-2.0,12.6
1451,,,,,
1452,,,,,
1453,-4.0,12.1,-472.6,-1.9,12.6
1454,-4.1,12.1,-472.5,-2.0,12.6
1455,,,,,
1456,,,,,
1457,-4.1,12.0,-471.8,-2.0,12.5
1458,-4.1,12.1,-472.1,-2.0,12.6
1459,,,,,
1460,,,,,
1461,-4.0,12.1,-472.1,-1.9,12.6
1462,-4.1,12.1,-472.7,-1.9,12.6
1463,,,,,
1464,-4.0,12.1,-471.9,-1.9,12.6
1465,,,,,
1466,-4.1,12.1,-471.9,-2.0,12.6
1467,,,,,
1468,-4.1,12.1,-472.1,-1.9,12.6
1469,,,,,
1470,,,,,
1471,-4.1,12.1,-472.6,-2.0,12.6
1472,,,,,
1473,-4.0,12.1,-471.9,-1.9,12.6
1474,-4.1,12.1,-472.4,-1.9,12.6
1475,,,,,
1476,,,,,
1477,-4.1,12.1,-472.4,-2.0,12.6
1478,-4.0,12.1,-472.2,-1.8,12.6
1479,,,,,
1480,,,,,
1481,-4.1,12.1,-472.2,-1.9,12.6
1482,,,,,
1483,-4.1,12.1,-472.0,-1.9,12.6
1484,-4.0,12.1,-472.4,-1.8,12.6
1485,,,,,
1486,-4.1,12.1,-472.3,-1.9,12.6
1487,,,,,
1488,,,,,
1489,-4.0,12.1,-472.5,-1.8,12.6
1490,-4.1,12.1,-472.3,-1.9,12.6
1491,,,,,
1492,-4.1,12.1,-472.3,-1.9,12.6
1493,,,,,
1494,,,,,
1495,-4.1,12.1,-472.3,-1.9,12.6
1496,,,,,
1497,-4.0,12.1,-472.1,-1.8,12.6
1498,-4.1,12.1,-472.7,-1.8,12.6
1499,,,,,
1500,,,,,
1501,-4.1,12.1,-472.4,-1.9,12.6
1502,,,,,
1503,-4.1,12.1,-472.5,-1.9,12.6
1504,-4.1,12.1,-472.2,-1.9,12.6
1505,,,,,
1506,-4.0,12.1,-472.4,-1.8,12.6
1507,,,,,
1508,-4.0,12.1,-472.1,-1.8,12.6
1509,,,,,
1510,,,,,
1511,-4.0,12.1,-472.1,-1.8,12.6
1512,-4.0,12.1,-472.1,-1.8,12.6
1513,,,,,
1514,-4.0,12.1,-471.9,-1.8,12.6
1515,,,,,
1516,,,,,
1517,-4.0,12.1,-472.1,-1.8,12.6
1518,,,,,
1519,-4.1,12.1,-472.1,-1.8,12.6
1520,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1521,,,,,
1522,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1523,,,,,
1524,,,,,
1525,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1526,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1527,,,,,
1528,-4.0,12.1,-471.8,-1.7000000000000002,12.6
1529,,,,,
1530,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1531,,,,,
1532,-4.0,12.0,-471.9,-1.7000000000000002,12.5
1533,,,,,
1534,,,,,
1535,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1536,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1537,,,,,
1538,,,,,
1539,-4.0,12.1,-472.8,-1.7000000000000002,12.6
1540,,,,,
1541,-4.1,12.1,-471.9,-1.7000000000000002,12.6
1542,,,,,
1543,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1544,-4.1,12.1,-471.7,-1.7000000000000002,12.6
1545,,,,,
1546,-4.0,12.1,-471.9,-1.7000000000000002,12.6
1547,,,,,
1548,,,,,
1549,-4.0,12.1,-471.7,-1.7000000000000002,12.6
1550,,,,,
1551,-4.0,12.1,-471.9,-1.7000000000000002,12.6
1552,,,,,
1553,-4.0,12.1,-471.7,-1.6,12.6
1554,,,,,
1555,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1556,,,,,
1557,-4.0,12.1,-472.3,-1.6,12.6
1558,,,,,
1559,-4.1,12.1,-472.4,-1.7000000000000002,12.7
1560,-4.0,12.1,-472.2,-1.6,12.6
1561,,,,,
1562,,,,,
1563,-4.0,12.1,-472.0,-1.6,12.6
1564,-4.0,12.1,-471.8,-1.6,12.6
1565,,,,,
1566,,,,,
1567,-4.0,12.1,-472.1,-1.6,12.6
1568,-4.0,12.1,-472.3,-1.6,12.6
1569,,,,,
1570,,,,,
1571,-4.0,12.1,-472.1,-1.6,12.6
1572,-4.1,12.1,-472.0,-1.7000000000000002,12.7
1573,,,,,
1574,-4.0,12.1,-472.0,-1.6,12.6
1575,,,,,
1576,-4.1,12.1,-471.9,-1.7000000000000002,12.7
1577,,,,,
1578,,,,,
1579,-4.0,12.1,-472.7,-1.6,12.6
1580,-4.0,12.1,-472.3,-1.6,12.7
1581,,,,,
1582,,,,,
1583,-4.1,12.1,-472.1,-1.6,12.7
1584,,,,,
1585,-4.0,12.1,-472.2,-1.6,12.6
1586,,,,,
1587,-4.0,12.1,-472.4,-1.5,12.7
1588,-4.0,12.1,-472.3,-1.5,12.7
1589,,,,,
1590,-4.0,12.1,-472.4,-1.5,12.7
1591,,,,,
1592,-4.0,12.1,-472.5,-1.5,12.7
1593,,,,,
1594,-4.0,12.1,-472.4,-1.5,12.7
1595,,,,,
1596,-4.0,12.1,-472.3,-1.5,12.7
1597,,,,,
1598,,,,,
1599,-4.1,12.1,-472.4,-1.6,12.7
1600,,,,,
1601,-4.0,12.1,-472.3,-1.5,12.7
1602,,,,,
1603,-4.0,12.1,-472.6,-1.5,12.7
1604,-4.0,12.1,-472.2,-1.5,12.7
1605,,,,,
1606,,,,,
1607,-4.0,12.1,-472.4,-1.5,12.7
1608,-4.1,12.1,-472.4,-1.6,12.7
1609,,,,,
1610,-4.0,12.1,-472.2,-1.5,12.7
1611,,,,,
1612,,,,,
1613,-4.0,12.1,-472.8,-1.5,12.7
1614,,,,,
