proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
157,-2.8,8.7,-331.6,1.2,9.0
158,34.5,18.4,-330.8,39.1,1.8
159,,,,,
160,-3.1,8.4,-332.0,0.8,8.9
161,,,,,
162,-3.1,8.4,-332.6,0.8,8.9
163,,,,,
164,,,,,
165,-3.1,8.4,-331.6,0.8,8.9
166,,,,,
167,19.9,16.7,-330.8,25.2,6.6
168,,,,,
169,32.4,21.2,-329.1,38.4,5.3
170,27.8,18.1,-328.6,32.9,4.5
171,,,,,
172,,,,,
173,25.4,17.0,-328.2,30.2,4.5
174,33.3,18.0,-330.0,37.8,2.1
175,,,,,
176,33.7,18.3,-330.6,38.3,2.2
177,,,,,
178,,,,,
179,32.8,19.5,-330.0,38.0,3.7
180,,,,,
181,31.9,17.6,-329.3,36.4,2.4
182,33.7,17.4,-329.9,37.9,1.4
183,,,,,
184,38.8,18.9,-329.9,43.2,0.7000000000000001
185,,,,,
186,,,,,
187,31.4,17.8,-329.1,36.0,2.8
188,,,,,
189,37.7,17.9,-330.6,41.8,0.30000000000000004
190,38.9,19.6,-331.6,43.6,1.3
191,,,,,
192,39.3,19.9,-331.8,44.0,1.4
193,,,,,
194,38.5,20.8,-332.2,43.7,2.6
195,,,,,
196,-3.0,8.4,-334.0,0.8,8.9
197,,,,,
198,,,,,
199,-2.7,8.4,-334.4,1.1,8.8
200,-3.0,8.4,-334.2,0.8,8.9
201,,,,,
202,,,,,
203,-3.1,8.4,-334.2,0.7000000000000001,8.9
204,-3.1,8.5,-335.5,0.7000000000000001,9.0
205,,,,,
206,-3.9,10.7,-426.6,0.9,11.4
207,,,,,
208,-3.4,9.4,-373.6,0.8,9.9
209,,,,,
210,,,,,
211,-0.7000000000000001,-5.1,-309.3,-2.8,-4.3
212,3.2,-22.0,-300.0,-6.3,-21.3
213,,,,,
214,,,,,
215,-3.0,8.2,-330.5,0.7000000000000001,8.7
216,,,,,
217,-4.1,11.9,-454.7,1.2,12.5
218,,,,,
219,-3.4,9.3,-371.0,0.8,9.8
220,-15.8,32.0,-312.0,-1.1,35.7
221,,,,,
222,,,,,
223,-3.6,9.9,-364.8,0.8,10.5
224,-14.4,22.1,-311.1,-3.9,26.1
225,,,,,
226,5.9,-32.6,-297.2,-8.2,-32.1
227,,,,,
228,-2.5,0.1,-311.4,-2.2,1.1
229,,,,,
230,,,,,
231,-3.4,-3.0,-374.0,-4.3,-1.3
232,,,,,
233,-2.9,8.0,-314.2,0.6000000000000001,8.4
234,-3.4,8.0,-316.8,0.2,8.7
235,,,,,
236,,,,,
237,-2.9,7.9,-313.5,0.6000000000000001,8.4
238,-2.9,7.9,-313.7,0.6000000000000001,8.4
239,,,,,
240,,,,,
241,-3.6,9.8,-388.9,0.7000000000000001,10.4
242,,,,,
243,-3.7,10.1,-400.2,0.8,10.7
244,,,,,
245,-4.3,11.9,-469.5,0.9,12.6
246,,,,,
247,-4.3,11.9,-469.7,0.9,12.6
248,-4.3,11.9,-469.5,0.9,12.6
249,,,,,
250,-4.3,11.9,-469.3,1.0,12.6
251,,,,,
252,,,,,
253,-4.3,11.9,-469.5,0.9,12.6
254,,,,,
255,-4.3,11.9,-470.1,0.9,12.6
256,-4.3,11.9,-470.1,0.9,12.6
257,,,,,
258,,,,,
259,-4.3,11.9,-469.5,0.9,12.6
260,-4.3,11.9,-469.3,0.9,12.6
261,,,,,
262,,,,,
263,-4.3,11.9,-468.9,0.9,12.6
264,,,,,
265,-4.3,11.9,-469.1,0.9,12.6
266,-4.3,11.9,-469.7,0.9,12.6
267,,,,,
268,-4.3,11.9,-469.5,0.9,12.6
269,,,,,
270,,,,,
271,-4.4,11.9,-469.3,0.8,12.7
272,-4.2,11.8,-469.8,0.9,12.5
273,,,,,
274,-4.4,11.9,-470.0,0.8,12.7
275,,,,,
276,,,,,
277,-4.2,11.9,-469.7,0.9,12.6
278,-4.3,11.8,-469.1,0.8,12.6
279,,,,,
280,,,,,
281,-4.3,11.9,-469.4,0.8,12.6
282,-4.3,11.9,-469.7,0.8,12.6
283,,,,,
284,,,,,
285,-4.3,11.9,-469.2,0.8,12.6
286,-4.3,11.9,-470.0,0.8,12.6
287,,,,,
288,,,,,
289,-4.3,11.9,-469.6,0.8,12.6
290,-4.3,11.9,-469.1,0.8,12.6
291,,,,,
292,,,,,
